SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	Telomeres_Found	Telomeres_Fwd	Telomeres_Rev	Telomeres_CompleteChrom
NRRL66559.AAFTF	162	19104611	512	937584	5840	117929.70	15	505981	38	162855	48.37	23	10	13	NA
NRRL66559.shovill	202	19162473	503	929203	3215	94863.73	15	541966	37	161410	48.37	25	12	13	NA
NRRL66560.AAFTF	303	19293396	502	1029628	3404	63674.57	21	318720	62	88480	48.39	26	10	16	NA
NRRL66560.canu	478	47739612	3725	2203630	23731	99873.67	23	647435	191	32237	51.86	52	27	25	NA
NRRL66560.canu.medaka	478	47790790	3744	2204321	23809	99980.73	23	648135	191	32325	51.86	52	27	25	25
NRRL66560.flye	205	49200839	507	3358282	73473	240004.09	16	811116	76	129036	51.54	21	7	14	NA
NRRL66560.necat	280	24972006	3633	2203984	17732	89185.74	13	669609	91	25898	51.60	46	21	25	20
NRRL66560.shovill	372	19331215	500	1029408	2551	51965.63	25	293349	68	88405	48.43	31	9	22	NA
